contact_duration,number_contacts,previous_days,previous_campaign_contacts,previous_outcome,campaign_outcome,campaign_id,last_contact_date
89,2,999,0,,,1,2022-05-10
152,1,999,0,,,1,2022-05-05
611,2,999,0,,,1,2022-05-25
110,2,999,0,,,1,2022-05-28
463,1,999,0,,,1,2022-05-16
962,1,999,0,,,1,2022-05-08
102,2,999,0,,,1,2022-05-22
10,4,999,0,,,1,2022-05-04
118,3,999,0,,,1,2022-05-31
92,2,999,0,,,1,2022-05-04
143,3,999,0,,,1,2022-05-10
189,3,999,0,,,1,2022-05-09
75,2,999,0,,,1,2022-05-18
189,2,999,0,,,1,2022-05-28
55,2,999,0,,,1,2022-05-11
935,3,999,0,,,1,2022-05-31
56,2,999,0,,,1,2022-05-25
5,2,999,0,,,1,2022-05-15
225,2,999,0,,,1,2022-05-23
125,2,999,0,,,1,2022-05-07
286,2,999,0,,,1,2022-05-09
206,2,999,0,,,1,2022-05-15
164,2,999,0,,,1,2022-05-16
98,2,999,0,,,1,2022-05-05
446,2,999,0,,,1,2022-05-03
742,2,999,0,,,1,2022-05-31
120,2,999,0,,,1,2022-05-06
122,3,999,0,,,1,2022-05-13
362,4,999,0,,,1,2022-05-25
357,2,999,0,,,1,2022-05-19
200,2,999,0,,,1,2022-05-27
107,2,999,0,,,1,2022-05-05
267,2,999,0,,,1,2022-05-13
248,2,999,0,,,1,2022-05-22
215,2,999,0,,,1,2022-05-08
209,2,999,0,,,1,2022-05-22
205,2,999,0,,,1,2022-05-15
261,3,999,0,,,1,2022-05-09
83,2,999,0,,,1,2022-05-20
106,3,999,0,,,1,2022-05-13
106,2,999,0,,,1,2022-05-27
108,2,999,0,,,1,2022-05-28
214,2,999,0,,,1,2022-05-17
358,2,999,0,,,1,2022-05-09
453,2,999,0,,,1,2022-05-07
364,2,999,0,,,1,2022-05-13
136,2,999,0,,,1,2022-05-19
173,2,999,0,,,1,2022-05-20
241,2,999,0,,,1,2022-05-07
224,3,999,0,,,1,2022-05-22
148,2,999,0,,,1,2022-05-31
230,2,999,0,,,1,2022-05-10
199,3,999,0,,,1,2022-05-15
196,2,999,0,,,1,2022-05-10
111,4,999,0,,,1,2022-05-23
231,3,999,0,,,1,2022-05-01
316,3,999,0,,,1,2022-05-16
240,2,999,0,,,1,2022-05-27
669,3,999,0,,,1,2022-05-21
425,2,999,0,,,1,2022-05-31
121,2,999,0,,,1,2022-05-09
174,5,999,0,,,1,2022-05-30
88,5,999,0,,,1,2022-05-07
313,3,999,0,,,1,2022-05-01
135,4,999,0,,,1,2022-05-28
152,2,999,0,,,1,2022-05-27
402,3,999,0,,,1,2022-05-29
221,2,999,0,,,1,2022-05-19
213,2,999,0,,,1,2022-05-10
144,3,999,0,,,1,2022-05-05
158,3,999,0,,,1,2022-05-11
220,3,999,0,,,1,2022-05-22
325,2,999,0,,,1,2022-05-26
254,2,999,0,,,1,2022-05-02
503,2,999,0,,,1,2022-05-24
680,2,999,0,,,1,2022-05-26
421,4,999,0,,,1,2022-05-25
130,3,999,0,,,1,2022-05-23
164,2,999,0,,,1,2022-05-03
174,3,999,0,,,1,2022-05-06
113,2,999,0,,,1,2022-05-01
195,2,999,0,,,1,2022-05-22
347,3,999,0,,,1,2022-05-01
208,2,999,0,,,1,2022-05-20
404,4,999,0,,,1,2022-05-07
396,2,999,0,,,1,2022-05-02
98,2,999,0,,,1,2022-05-21
229,3,999,0,,,1,2022-05-28
350,2,999,0,,,1,2022-05-27
88,3,999,0,,,1,2022-05-16
379,2,999,0,,,1,2022-05-30
168,3,999,0,,,1,2022-05-08
190,3,999,0,,,1,2022-05-22
158,1,999,0,,,1,2022-05-24
210,1,999,0,,,1,2022-05-05
102,1,999,0,,,1,2022-05-24
306,1,999,0,,,1,2022-05-08
64,1,999,0,,,1,2022-05-26
218,1,999,0,,,1,2022-05-12
77,1,999,0,,,1,2022-05-02
54,1,999,0,,,1,2022-05-04
344,1,999,0,,,1,2022-05-01
195,1,999,0,,,1,2022-05-16
202,1,999,0,,,1,2022-05-16
286,1,999,0,,,1,2022-05-21
278,1,999,0,,,1,2022-05-11
189,1,999,0,,,1,2022-05-01
83,1,999,0,,,1,2022-05-28
18,1,999,0,,,1,2022-05-26
184,2,999,0,,,1,2022-05-18
235,1,999,0,,,1,2022-05-13
290,1,999,0,,,1,2022-05-21
133,1,999,0,,,1,2022-05-24
318,1,999,0,,,1,2022-05-08
437,1,999,0,,,1,2022-05-07
402,1,999,0,,,1,2022-05-13
501,4,999,0,,,1,2022-05-31
1201,1,999,0,,,1,2022-05-02
1030,1,999,0,,,1,2022-05-10
253,1,999,0,,,1,2022-05-03
149,1,999,0,,,1,2022-05-29
144,1,999,0,,,1,2022-05-10
69,1,999,0,,,1,2022-05-24
243,1,999,0,,,1,2022-05-23
769,2,999,0,,,1,2022-05-06
135,3,999,0,,,1,2022-05-03
231,1,999,0,,,1,2022-05-04
442,2,999,0,,,1,2022-05-17
199,1,999,0,,,1,2022-05-05
455,1,999,0,,,1,2022-05-22
152,1,999,0,,,1,2022-05-21
124,1,999,0,,,1,2022-05-23
424,1,999,0,,,1,2022-05-19
43,1,999,0,,,1,2022-05-16
154,1,999,0,,,1,2022-05-04
393,1,999,0,,,1,2022-05-26
203,2,999,0,,,1,2022-05-03
140,2,999,0,,,1,2022-05-23
326,1,999,0,,,1,2022-05-30
483,1,999,0,,,1,2022-05-03
259,1,999,0,,,1,2022-05-12
227,1,999,0,,,1,2022-05-01
673,1,999,0,,,1,2022-05-01
576,1,999,0,,,1,2022-05-23
180,2,999,0,,,1,2022-05-24
90,1,999,0,,,1,2022-05-18
505,1,999,0,,,1,2022-05-22
245,1,999,0,,,1,2022-05-03
186,1,999,0,,,1,2022-05-23
208,1,999,0,,,1,2022-05-05
623,1,999,0,,,1,2022-05-30
180,1,999,0,,,1,2022-05-08
496,3,999,0,,,1,2022-05-11
118,1,999,0,,,1,2022-05-20
102,2,999,0,,,1,2022-05-16
342,1,999,0,,,1,2022-05-09
225,1,999,0,,,1,2022-05-01
185,3,999,0,,,1,2022-05-03
276,1,999,0,,,1,2022-05-12
87,1,999,0,,,1,2022-05-29
744,1,999,0,,,1,2022-05-13
262,1,999,0,,,1,2022-05-22
271,1,999,0,,,1,2022-05-25
141,1,999,0,,,1,2022-05-26
198,2,999,0,,,1,2022-05-05
150,1,999,0,,,1,2022-05-13
241,1,999,0,,,1,2022-05-22
196,1,999,0,,,1,2022-05-18
149,1,999,0,,,1,2022-05-18
264,1,999,0,,,1,2022-05-11
246,1,999,0,,,1,2022-05-22
309,2,999,0,,,1,2022-05-27
140,1,999,0,,,1,2022-05-20
175,1,999,0,,,1,2022-05-13
136,1,999,0,,,1,2022-05-07
1623,1,999,0,,,1,2022-05-29
50,1,999,0,,,1,2022-05-16
101,1,999,0,,,1,2022-05-15
144,1,999,0,,,1,2022-05-09
238,1,999,0,,,1,2022-05-17
354,1,999,0,,,1,2022-05-13
451,2,999,0,,,1,2022-05-07
159,1,999,0,,,1,2022-05-23
170,1,999,0,,,1,2022-05-19
243,1,999,0,,,1,2022-05-30
141,2,999,0,,,1,2022-05-03
112,1,999,0,,,1,2022-05-08
262,2,999,0,,,1,2022-05-01
53,1,999,0,,,1,2022-05-09
134,1,999,0,,,1,2022-05-25
204,4,999,0,,,1,2022-05-21
678,1,999,0,,,1,2022-05-22
182,1,999,0,,,1,2022-05-18
162,1,999,0,,,1,2022-05-26
177,1,999,0,,,1,2022-05-05
27,1,999,0,,,1,2022-05-12
699,3,999,0,,,1,2022-05-20
358,1,999,0,,,1,2022-05-13
1677,1,999,0,,,1,2022-05-18
529,1,999,0,,,1,2022-05-10
310,1,999,0,,,1,2022-05-04
47,1,999,0,,,1,2022-05-11
379,1,999,0,,,1,2022-05-16
30,2,999,0,,,1,2022-05-30
472,1,999,0,,,1,2022-05-22
113,1,999,0,,,1,2022-05-06
114,1,999,0,,,1,2022-05-27
116,1,999,0,,,1,2022-05-03
448,1,999,0,,,1,2022-05-23
264,1,999,0,,,1,2022-05-05
169,1,999,0,,,1,2022-05-16
145,1,999,0,,,1,2022-05-04
288,1,999,0,,,1,2022-05-24
381,1,999,0,,,1,2022-05-31
176,2,999,0,,,1,2022-05-30
215,1,999,0,,,1,2022-05-02
278,1,999,0,,,1,2022-05-06
188,2,999,0,,,1,2022-05-02
174,2,999,0,,,1,2022-05-06
226,2,999,0,,,1,2022-05-18
111,2,999,0,,,1,2022-05-17
157,2,999,0,,,1,2022-05-10
46,1,999,0,,,1,2022-05-28
49,1,999,0,,,1,2022-05-29
374,1,999,0,,,1,2022-05-16
349,1,999,0,,,1,2022-05-01
325,1,999,0,,,1,2022-05-16
233,2,999,0,,,1,2022-05-10
531,1,999,0,,,1,2022-05-02
153,1,999,0,,,1,2022-05-19
80,1,999,0,,,1,2022-05-04
198,1,999,0,,,1,2022-05-25
568,1,999,0,,,1,2022-05-08
918,1,999,0,,,1,2022-05-31
82,1,999,0,,,1,2022-05-10
198,3,999,0,,,1,2022-05-10
211,1,999,0,,,1,2022-05-11
120,1,999,0,,,1,2022-05-12
269,1,999,0,,,1,2022-05-25
128,1,999,0,,,1,2022-05-09
166,2,999,0,,,1,2022-05-17
211,1,999,0,,,1,2022-05-19
369,1,999,0,,,1,2022-05-11
91,1,999,0,,,1,2022-05-21
267,2,999,0,,,1,2022-05-04
198,1,999,0,,,1,2022-05-28
371,2,999,0,,,1,2022-05-08
288,2,999,0,,,1,2022-05-11
221,1,999,0,,,1,2022-05-08
427,1,999,0,,,1,2022-05-01
310,1,999,0,,,1,2022-05-23
158,1,999,0,,,1,2022-05-04
198,1,999,0,,,1,2022-05-19
145,1,999,0,,,1,2022-05-02
247,1,999,0,,,1,2022-05-04
102,1,999,0,,,1,2022-05-07
179,2,999,0,,,1,2022-05-06
73,1,999,0,,,1,2022-05-16
263,2,999,0,,,1,2022-05-22
342,2,999,0,,,1,2022-05-07
41,1,999,0,,,1,2022-05-25
13,1,999,0,,,1,2022-05-16
79,2,999,0,,,1,2022-05-03
358,1,999,0,,,1,2022-05-29
162,1,999,0,,,1,2022-05-20
150,1,999,0,,,1,2022-05-30
26,1,999,0,,,1,2022-05-23
250,1,999,0,,,1,2022-05-29
792,1,999,0,,,1,2022-05-09
146,1,999,0,,,1,2022-05-23
440,1,999,0,,,1,2022-05-26
289,1,999,0,,,1,2022-05-18
242,2,999,0,,,1,2022-05-29
123,1,999,0,,,1,2022-05-25
161,2,999,0,,,1,2022-05-01
268,2,999,0,,,1,2022-05-28
259,2,999,0,,,1,2022-05-03
26,1,999,0,,,1,2022-05-25
153,1,999,0,,,1,2022-05-03
424,2,999,0,,,1,2022-05-04
375,1,999,0,,,1,2022-05-22
179,2,999,0,,,1,2022-05-11
383,1,999,0,,,1,2022-05-14
440,1,999,0,,,1,2022-05-25
195,1,999,0,,,1,2022-05-13
1297,3,999,0,,,1,2022-05-02
217,1,999,0,,,1,2022-05-12
87,1,999,0,,,1,2022-05-19
427,1,999,0,,,1,2022-05-21
189,1,999,0,,,1,2022-05-18
502,1,999,0,,,1,2022-05-22
260,1,999,0,,,1,2022-05-27
209,1,999,0,,,1,2022-05-06
179,1,999,0,,,1,2022-05-12
179,1,999,0,,,1,2022-05-16
69,1,999,0,,,1,2022-05-23
105,2,999,0,,,1,2022-05-14
266,3,999,0,,,1,2022-05-29
87,2,999,0,,,1,2022-05-21
524,2,999,0,,,1,2022-05-22
155,2,999,0,,,1,2022-05-17
162,2,999,0,,,1,2022-05-25
316,4,999,0,,,1,2022-05-27
352,2,999,0,,,1,2022-05-24
695,3,999,0,,,1,2022-05-30
76,4,999,0,,,1,2022-05-31
535,2,999,0,,,1,2022-05-12
310,2,999,0,,,1,2022-05-08
390,3,999,0,,,1,2022-05-02
369,1,999,0,,,1,2022-05-13
112,2,999,0,,,1,2022-05-02
79,1,999,0,,,1,2022-05-13
140,2,999,0,,,1,2022-05-28
315,1,999,0,,,1,2022-05-18
262,2,999,0,,,1,2022-05-07
174,2,999,0,,,1,2022-05-06
424,2,999,0,,,1,2022-05-10
135,1,999,0,,,1,2022-05-06
36,5,999,0,,,1,2022-05-09
1906,3,999,0,,,1,2022-05-15
219,2,999,0,,,1,2022-05-06
135,1,999,0,,,1,2022-05-20
147,2,999,0,,,1,2022-05-26
407,2,999,0,,,1,2022-05-23
402,4,999,0,,,1,2022-05-14
209,1,999,0,,,1,2022-05-30
92,2,999,0,,,1,2022-05-11
208,1,999,0,,,1,2022-05-07
193,1,999,0,,,1,2022-05-27
65,1,999,0,,,1,2022-05-31
284,2,999,0,,,1,2022-05-10
285,1,999,0,,,1,2022-05-25
231,1,999,0,,,1,2022-05-14
278,1,999,0,,,1,2022-05-07
389,1,999,0,,,1,2022-05-22
158,1,999,0,,,1,2022-05-23
78,2,999,0,,,1,2022-05-06
258,5,999,0,,,1,2022-05-22
87,1,999,0,,,1,2022-05-18
147,2,999,0,,,1,2022-05-27
635,1,999,0,,,1,2022-05-01
289,1,999,0,,,1,2022-05-22
170,3,999,0,,,1,2022-05-31
802,1,999,0,,,1,2022-05-20
381,2,999,0,,,1,2022-05-13
218,4,999,0,,,1,2022-05-31
57,2,999,0,,,1,2022-05-01
304,2,999,0,,,1,2022-05-06
241,3,999,0,,,1,2022-05-11
230,1,999,0,,,1,2022-05-01
79,4,999,0,,,1,2022-05-11
262,3,999,0,,,1,2022-05-04
392,2,999,0,,,1,2022-05-07
201,2,999,0,,,1,2022-05-27
145,1,999,0,,,1,2022-05-06
252,1,999,0,,,1,2022-05-01
329,1,999,0,,,1,2022-05-18
328,2,999,0,,,1,2022-05-22
191,2,999,0,,,1,2022-05-16
116,2,999,0,,,1,2022-05-29
246,1,999,0,,,1,2022-05-03
532,2,999,0,,,1,2022-05-29
293,1,999,0,,,1,2022-05-30
416,3,999,0,,,1,2022-05-21
37,2,999,0,,,1,2022-05-23
132,2,999,0,,,1,2022-05-15
530,2,999,0,,,1,2022-05-13
175,3,999,0,,,1,2022-05-05
90,5,999,0,,,1,2022-05-30
524,2,999,0,,,1,2022-05-17
29,3,999,0,,,1,2022-05-06
311,2,999,0,,,1,2022-05-07
412,1,999,0,,,1,2022-05-25
211,2,999,0,,,1,2022-05-08
312,3,999,0,,,1,2022-05-30
392,1,999,0,,,1,2022-05-27
191,1,999,0,,,1,2022-05-10
284,2,999,0,,,1,2022-05-29
328,1,999,0,,,1,2022-05-21
100,1,999,0,,,1,2022-05-10
226,1,999,0,,,1,2022-05-05
507,1,999,0,,,1,2022-05-25
333,2,999,0,,,1,2022-05-18
128,2,999,0,,,1,2022-05-13
322,2,999,0,,,1,2022-05-15
202,4,999,0,,,1,2022-05-17
92,2,999,0,,,1,2022-05-12
205,2,999,0,,,1,2022-05-30
739,3,999,0,,,1,2022-05-17
273,2,999,0,,,1,2022-05-05
339,3,999,0,,,1,2022-05-18
262,1,999,0,,,1,2022-05-06
308,3,999,0,,,1,2022-05-21
467,2,999,0,,,1,2022-05-06
245,2,999,0,,,1,2022-05-14
160,3,999,0,,,1,2022-05-06
189,2,999,0,,,1,2022-05-26
477,1,999,0,,,1,2022-05-04
65,3,999,0,,,1,2022-05-27
191,1,999,0,,,1,2022-05-21
196,2,999,0,,,1,2022-05-11
221,2,999,0,,,1,2022-05-18
197,2,999,0,,,1,2022-05-14
178,2,999,0,,,1,2022-05-10
221,2,999,0,,,1,2022-05-17
64,2,999,0,,,1,2022-05-12
75,2,999,0,,,1,2022-05-31
400,2,999,0,,,1,2022-05-31
378,3,999,0,,,1,2022-05-28
118,2,999,0,,,1,2022-05-03
1597,2,999,0,,,1,2022-05-24
346,2,999,0,,,1,2022-05-13
107,2,999,0,,,1,2022-05-17
60,3,999,0,,,1,2022-05-15
276,2,999,0,,,1,2022-05-19
176,2,999,0,,,1,2022-05-19
390,2,999,0,,,1,2022-05-21
251,3,999,0,,,1,2022-05-27
716,2,999,0,,,1,2022-05-25
189,3,999,0,,,1,2022-05-30
125,2,999,0,,,1,2022-05-30
234,2,999,0,,,1,2022-05-09
79,2,999,0,,,1,2022-05-05
13,6,999,0,,,1,2022-05-19
296,3,999,0,,,1,2022-05-06
114,2,999,0,,,1,2022-05-04
283,3,999,0,,,1,2022-05-09
109,2,999,0,,,1,2022-05-31
132,2,999,0,,,1,2022-05-15
144,2,999,0,,,1,2022-05-26
121,2,999,0,,,1,2022-05-03
95,3,999,0,,,1,2022-05-15
31,3,999,0,,,1,2022-05-23
112,3,999,0,,,1,2022-05-20
161,2,999,0,,,1,2022-05-12
87,4,999,0,,,1,2022-05-12
593,2,999,0,,,1,2022-05-29
99,2,999,0,,,1,2022-05-23
198,2,999,0,,,1,2022-05-31
285,2,999,0,,,1,2022-05-22
190,3,999,0,,,1,2022-05-16
172,5,999,0,,,1,2022-05-29
178,2,999,0,,,1,2022-05-03
174,2,999,0,,,1,2022-05-22
631,2,999,0,,,1,2022-05-21
152,3,999,0,,,1,2022-05-06
176,5,999,0,,,1,2022-05-06
32,3,999,0,,,1,2022-05-02
1529,2,999,0,,,1,2022-05-08
254,2,999,0,,,1,2022-05-27
214,2,999,0,,,1,2022-05-11
147,3,999,0,,,1,2022-05-14
800,4,999,0,,,1,2022-05-19
106,2,999,0,,,1,2022-05-22
135,2,999,0,,,1,2022-05-21
112,4,999,0,,,1,2022-05-19
222,2,999,0,,,1,2022-05-03
314,3,999,0,,,1,2022-05-12
421,2,999,0,,,1,2022-05-20
